Username,Comment
yiii.233,Dari jam 7 malam sampai jam 6 pagi 🥰
fiaaa3711,kenapa mati lagi lampu nya
callmeolinnn,Aku gk mau Maafin .aku gk bisa tidur .jaringan pun gk ada .mati dari jam 6 sore sampe pukul 2:30 baru hidup ini .🙄😭
ayanatube4,cepatlah pak sesak berak ni 😳
nazhifa.mahfuzhah,"kami hidup dari Maghrib Sampek jam 10 pagi, Gilak lan"
noana.kellyharsey,"panas banget semalam sumpah, sampe sekeluarga turu di teras 😭"
tymot_.0,itu PLN brti mendukung ya🤣
rivalaja58,"udh lah panas,ga ada aba2 pulak itu"
masmasbiasa468,"jika kami telat bayar listrik,apakah bisa denda nya diganti dgn permohonan maaf?"
heru_irawan_pratama,Udah masuk brp Ton pak?
faz4uu,"terus terang aja pak, lagi lolosin apa?"
1akuniniterblokir,"aku warung sembako, ada jual aice cream, gilaaa cairrrr semuaaaaa 😭😭
mana baru order kemarin. 700 rbu cair semua eskrim ku 😭,, tolonggg"
windisorayaa,dari jam 18:44 hdup lmpu jam 03:00
indahpssssss,gamau dimaafin aku yg ldr an jadi gabisa sleep call an sama ayang😭
petrik919,"kompensasinya apa, kok minta maaf doang."
astroboyys198,ni udah berapa ton yang lolos??
mui4787,akal2an
ferayatna1,Aku 27 jam kak baru idup 🫪😭
ritasusantiiii,minta maaf aja nih? kompensasi token 100ribu lah minimal 😊
aprndstptr,ahh paling ada yg lewat di lintas tengah tu
yayacun_,Malas dah badmood
1sujep,eskrim ku hancur mleleh
user7942981573422,kepada BAPAK PT.PLN Persero saya mohon ma'af untuk bulan ini saya blm bisa bayar listrik pak.bisa ga pak
rianurulayinie,Sakit tangan aku pak ngipas anak2 ku
_aul55,mls ga di maafin gmood gara² bapak aku gbsa tdurr mna baru idup lagi lampunya
aniwulandari91,"Nggak apa-apa Pak, kan cuma sekali. Saya tinggal tidur, bangun pagi sudah hidup..😄"
mel.yan550,"Pak kmi di sumatra mati lampu dari jumat jam 6 sore , sampek hari sabtu jam 12 siang baru hiduppp 🥺🥺🥺"
eliza280296,Kami maaf kan asal kan bayaran perbulan di turunkan😃
sok.05.kenal,Berapa ton yg lewat pak
dani.official94,"langsung intinya aja, ada brapa ton barang itu yg masuk ?"
