"Comment ID","User ID","Username","Nick Name","Comment","Comment Time","Digg Count","Author Digged","Reply Count","Pinned to Top","User Homepage"
"=""7643144778343990037""","=""7025427106142503962""","keysamnda06","keyy🦋","1 lagi kak pada antri di depot airr🤣","24/5/2026, 00.45.40","2","No","0","No","https://www.tiktok.com/@keysamnda06"
"=""7643041515103060752""","=""7071085739962516481""","aminr01","Aminr01","menjadi sebuah sejarah di Kota Medan.😕","24/5/2026, 08.58.42","1","No","0","No","https://www.tiktok.com/@aminr01"
"=""7643184458665050898""","=""7578318392957076488""","bluesttarrr","bobiboy","intinya ajalah air ku udah abis🗿","24/5/2026, 03.19.30","0","No","0","No","https://www.tiktok.com/@bluesttarrr"
"=""7643159907101311762""","=""7424905178794918917""","sabilla2449","sabilla","aku pun heran kok pada sibuk kali macam ga pernah mati lampu aja wkwk","24/5/2026, 01.44.16","0","No","0","No","https://www.tiktok.com/@sabilla2449"
"=""7643126297975128848""","=""6924309372538946562""","lia_sekawa","R_🕊️","Menyala mati lampu 26jam haha😂","23/5/2026, 23.33.44","0","No","0","No","https://www.tiktok.com/@lia_sekawa"
"=""7642925594704134932""","=""6838420547207840770""","rendriannn","Ren","yang ngungsi ke warkop 🗿☝🏻","23/5/2026, 10.35.01","1","No","0","No","https://www.tiktok.com/@rendriannn"
"=""7643105591553409800""","=""7551789959821476871""","rereey684","B I L A✨","smnjk mati lampu kmna prgi bwa charger,jaga"" spa tau tb tb idup lampu biar bisa numpang cas🤣🤣","23/5/2026, 22.13.24","1","No","0","No","https://www.tiktok.com/@rereey684"
"=""7643026427047002898""","=""6654775302664224770""","manusiaa.senja","manusiaa.senja","kita belum hidup sampe skrg 🥹🥹 medan kota 🥲🥹","23/5/2026, 17.06.14","1","No","0","No","https://www.tiktok.com/@manusiaa.senja"
"=""7643034841210929928""","=""7260755109922718726""","kencanayoohiks","hi,ini lala","padang mati lampu dari siang sampeeee mau malam ini😭😭😭","23/5/2026, 17.38.53","1","No","0","No","https://www.tiktok.com/@kencanayoohiks"
"=""7643013907184337682""","=""7198384211388564482""","deyy_41","americaNOO","cafe tmpt kerjaku tb tb ramee , rame orng ngecas","23/5/2026, 16.17.41","1","No","0","No","https://www.tiktok.com/@deyy_41"
